Job Title,City,Pay,PayUnit
Administrative Assistant,"Surrey, BC",22.50,HOUR
General Labourer - Manufacturing,"394, avenue PrincipaleSaints-Anges, QCG0S 3E0",16.80,HOUR
Nanny,"Vancouver, BC",14.60,HOUR
Architect,"Toronto, ON",Not available,
Biomedical Engineering Technologist,"Laval, QC",22.74,HOUR
Retail Sales Associate,"Québec, QC",to be discussed,
Journeyman/woman Cabinetmaker,"Edmonton, AB",18.00,HOUR
Form Carpenter,"Vancouver, BC",28.00,HOUR
Line Cook,"905 Hornby StreetVancouver, BCV6Z 1V3",14.60,HOUR
Heavy-duty Cleaner,"New Minas, NS",13.50,HOUR
"Developer, Software","Saskatoon, SK",Not available,
Order Clerk - Customer Services,"Boucherville, QC",16.00,HOUR
"Clerk, Customer Service","Repentigny, QC",to be discussed,
Delivery Salesperson,"Amos, QC","45,000",YEAR
General Manager - Government Services,"Calgary, AB",Not available,
"Driver, Long Haul","Surrey, BC",26.50,HOUR
Home Support Worker,"Toronto, ON",18.00,HOUR
Physical Therapist,"Montréal, QC",to be discussed,
Sales Supervisor,"Unit 408, 3414 Gateway Blvd. Edmonton, ABT6J 6R5",20.00,HOUR
Drywall Taper,"Surrey, BC",27.00,HOUR
Blender And Wrapper - Food And Beverage Processing,"Varennes, QC",15.50,HOUR
Dental Office Receptionist,"Châteauguay, QC",to be discussed,
Purchasing Officer,"Lévis, QC",Not available,
Automotive Electrical Mechanic,"Mercier, QC",Not available,
Chef,"Huntsville, ON","1,000",WEEKLY
Glass Polisher Tender,"153, boulevard LaurierLaurier-Station, QCG0S 1N0",17.66,HOUR
Electrical Mechanic,"Rouyn-Noranda, QC",to be discussed,
Food Service Supervisor,"Surrey, BC",16.00,HOUR
Barista,"Montréal, QC",14.00,HOUR
Health Care Aide,"Vancouver, BC",18.00,HOUR
Production Helper,"Cowansville, QC",16.70,HOUR
Production Co-ordinator,"Waterville, QC",Not available,
Electrical Mechanic,"Beauceville, QC",25.01,HOUR
Cook,"Drummondville, QC",15.96,HOUR
Grounds Maintainer,"Longueuil, QC",to be discussed,
Millwright Industrial,"Saint-Hubert, QC",Not available,
Food Counter Attendant,"Surrey, BC",15.00,HOUR
Computer Network Technician,"Saint-Jean-Port-Joli, QC",Not available,
Plumber Helper,"12781 59 A Ave.Surrey, BCV3X 1T4",21.10,HOUR
"Assembler, Windows And Screens","Saint-Apollinaire, QC",to be discussed,
Delivery Clerk,"Alma, QC",to be discussed,
Census Enumerator,"Oliver, BC",17.83,HOUR
Concrete-laying Gang Foreman/woman,"Niagara Falls, ON",25.00,HOUR
Child Care Live-in Caregiver,"Brampton, ON",15.00,HOUR
Early Childhood Educator Assistant,"L'Ancienne-Lorette, QC",16.00,HOUR
Roofer Helper,"Etobicoke, ON",20.50,HOUR
Benefits Consultant,"Roberval, QC",to be discussed,
Greenhouse Supervisor,"Mirabel, QC",Not available,
Home Support Worker,"Scarborough, ON",18.00,HOUR
Electrical Mechanic,"Sherbrooke, QC",Not available,
Administrative Assistant,"Knowlton, QC",18.00,HOUR
Early Childhood Education Worker,"Watson Lake, YT",21.57,HOUR
Medical Office Assistant,"North Battleford, SK",Not available,
Apprentice Butcher - Retail Or Wholesale,"Rimouski, QC",to be discussed,
"Assembler, Furniture","237, rue des MenuisiersSaint-Germain-de-Grantham, QCJ0C 1K0",16.00,HOUR
Concrete Products Machine Operator,"Abbotsford, BC",20.00,HOUR
Family Caregiver,"Coquitlam, BC",270.00,DAY
Hotel Receptionist,"Montmagny, QC",15.00,HOUR
Junior Invoice Clerk,"Brampton, ON",15.00,HOUR
Short Order Cook,"10 Sunday Hill RoadNorth West River, NLA0P 1M0","35,000",YEAR
Rental Clerk - Retail,"Rigaud, QC",14.00,HOUR
Bookkeeper,"Richmond, BC",25.00,HOUR
Operating Room (OR) Nurse,"Gatineau, QC",Not available,
Fundraising Campaign Manager,"Burnaby, BC",Not available,
"Clerk, Retail Sales","Beloeil, QC",to be discussed,
Hotel Manager,"140 Sims AveWeyburn, SKS4H 2H5",27.24,HOUR
Administrative Support Officer,"La Pocatière, QC",Not available,
Painter,"8714 128 A StreetSurrey, BCV3W 0K3",25.00,HOUR
"Manager, Sales And Marketing","New Westminster, BC",29.00,HOUR
Aluminum-casting Machine Operator - Primary Metal Processing,"Barrie, ON",16.00,HOUR
Billing Clerk,"Saint-Hyacinthe, QC",Not available,
Administrative Support Officer,"Sorel-Tracy, QC",Not available,
Millwright,"Burlington, ON",30.50,HOUR
Camp Leader,"Ville-Marie, QC",to be discussed,
Chef De Partie,"Toronto, ON",16.00,HOUR
Medical Orderly,"Sherbrooke, QC",to be discussed,
"Live-in Caregiver, Child Care","Abbotsford, BC",15.00,HOUR
Customer Service Agent,"Saint-Jérôme, QC",to be discussed,
Excavator Operator,"Cambridge, ON",28.00,HOUR
Plumber - Pipefitting,"Montréal, QC",38.61,HOUR
Welder,"Concord, ON",25.00,HOUR
Roofing Mechanic,"East York, ON",35.00,HOUR
Apprentice Butcher - Retail Or Wholesale,"Saint-Nicolas, QC",to be discussed,
Carpenter,"Mississauga, ON",18.00,HOUR
Roofer,"1676 W 75th AvenueVancouver, BCV6P 6G2",27.00,HOUR
Licensed Practical Nurse (L.P.N.),"Kamloops, BC",28.15,HOUR
Construction Labourer,"Saint-Eugène-de-Grantham, QC",17.18,HOUR
Procurement Director,"Nepean, ON",46.50,HOUR
Mobile Crane Operator,"Estevan, SK",35.00,HOUR
Early Childhood Educator (E.C.E.),"Greenfield Park, QC",16.75,HOUR
Housekeeping Attendant,"Roberval, QC",18.91,HOUR
Accounting Clerk,"388 highway 4Port Hastings, NSB9A 1M8",12.55,HOUR
OT (occupational Therapist),"Vancouver, BC",36.51,HOUR
Airline Customer Service Representative,"Dartmouth, NS",Not available,
Farm Workers Supervisor,"Fort Macleod, AB",15.42,HOUR
Financial Analyst,"Bromont, QC",Not available,
"Assembler, Fixture","Drummondville, QC",15.74,HOUR
Wholesale Buyer,"Mississauga, ON",24.15,HOUR
Baker,"Percé, QC",to be discussed,
Telephone Sales Agent,"1760 Main StreetWinnipeg, MBR2V 1Z7",12.00,HOUR
Administrative Assistant,"Unit-110A 12830 80 AvenueSurrey, BCV3W 3A8",23.00,HOUR
Glazier,"Montréal, QC",23.00,HOUR
"Labourer, General - Manufacturing","Plessisville, QC",to be discussed,
L.P.N. (licensed Practical Nurse),"67 1st Street West, Box 240The Pas, MBR9A 1K4",28.61,HOUR
Spray Painter,"Saint-Damase, QC",17.00,HOUR
Electrical Mechanic,"Saint-Georges, QC",to be discussed,
Heavy Equipment Operating Engineer,"Boucherville, QC",to be discussed,
Retail Store Supervisor,"Edmonton, AB",21.15,HOUR
"Labourer, General - Manufacturing","Berthierville, QC",15.25,HOUR
Meat Mixer,"Antigonish, NS",12.95,HOUR
Ethnic Food Cook,"153-3650 Mt. Seymour ParkwayNorth Vancouver, BCV7H 2Y5",16.00,HOUR
Cook,"734 Esplanade Ave.Ladysmith, BCV9G 1A1",16.00,HOUR
Cashier,"Marystown, NL",Not available,
Child Caregiver - Private Home,"Scarborough, ON",15.00,HOUR
Freight Receiver Clerk,"Chicoutimi, QC",Not available,
Chemist,"Saint-Rémi, QC",to be discussed,
Hospital Receptionist,"1070 Cassells StNorth Bay, ONP1B 4A9",17.00,HOUR
"Clerk, Retail Sales","Sainte-Julie, QC",to be discussed,
Cook,"Rawdon, QC",to be discussed,
Case Aide - Social Services,"Longueuil, QC",20.55,HOUR
Grounds Maintenance Labourer,"Saint-Marc-des-Carrières, QC",15.50,HOUR
Warehouse Supervisor,"Victoriaville, QC",to be discussed,
Food Service Supervisor,"203 SE Marine DrVancouver, BCV5X 3L6",15.60,HOUR
Financial Planner,"Port Coquitlam, BC",Not available,
Business Services Officer,"La Grand-Maria, QC",to be discussed,
Administrative Technician,"Saint-Georges, QC",25.00,HOUR
Customer Service Adviser,"Montréal, QC",Not available,
Industrial Mechanic,"Lambton, QC",to be discussed,
Delivery Driver,"Montréal, QC",Not available,
Licensed Practical Nurse (L.P.N.),"La Ronge, SK",34.75,HOUR
General Construction Supervisor,"7311 vantage wayDelta, BCV4G 1C9",35.00,HOUR
Field-grown Crop Farm Labourer - Harvesting,"Windham Centre, ON",14.39,HOUR
Landscape Worker,"Longueuil, QC",18.00,HOUR
Amusement Ride Operator,"K-Days-starts July 18, 2021Edmonton, ABT5J 2N5",15.00,HOUR
Regional Development Officer,"Trois-Rivières, QC",800,WEEKLY
Landscaper,"Salaberry-de-Valleyfield, QC",to be discussed,
Cook,"Vancouver, BC",26.00,HOUR
"Clerk, Customer Service","Lachine, QC",13.50,HOUR
Construction Labourer And Helper,"Chilliwack, BC",18.00,HOUR
Long Haul Truck Driver,"Edmonton, AB",27.80,HOUR
Fibreglass Layup Man/woman - Plastic Manufacturing,"880, 2e RangActon Vale, QCJ0H 1A0",14.00,HOUR
Farm Labourer,"Saint-Lin-Laurentides, QC",13.50,HOUR
Farm Labourer,"Saint-Hyacinthe, QC",13.86,HOUR
Clinical Nurse,"Montmagny, QC",25.25,HOUR
Income Tax Expert,"Sainte-Marie, QC",Not available,
Vinyl Lettering Artist,"137 Buttermill AvenueConcord, ONL4K 3X5",18.00,HOUR
Factory Helper,"Richmond Hill, ON",14.35,HOUR
Computer Networks Manager,"Beauceville, QC",to be discussed,
Environmental Science Manager,"Dartmouth, NS",Not available,
"Clerk, Retail Sales","Trois-Rivières, QC",to be discussed,
Food Store Clerk - Retail,"Saint-Jean-sur-Richelieu, QC",to be discussed,
Financial Planner,"North York, ON",Not available,
Software Developer,"Montréal, QC",Not available,
User Support Technician,"211 Mountainberry RoadBrampton, ONL6R 1W3",31.00,HOUR
"Dispatcher, Trucks","Granby, QC",Not available,
Home Care Service Manager,"219 Dunvegan RoadEdmonton, ABT5L 5C6",34.00,HOUR
Bookkeeper,"Surrey, BC",25.00,HOUR
Web Developer,"19668 68 AvenueLangley, BCV2Y 1J8",28.85,HOUR
Child And Youth Worker,"St. John's, NL",Not available,
Customer Service Cashier,"Saint-Jérôme, QC",to be discussed,
Office Administrative Assistant,"7472-122A StreetSurrey, BCV3W 9N2",28.00,HOUR
Other Customer And Information Services Representatives,"Parksville, BC","2,500",MONTH
Business Development Officer,"Unit 202 12899 80 AvenueSurrey, BCV3W 0E6",31.50,HOUR
Golf Course Labourer,"Thetford Mines, QC",to be discussed,
Assistant Manager - Retail,"Delta, BC",30.00,HOUR
Restaurant Host/hostess,"Québec, QC",Not available,
Car Detailer,"Yarmouth, NS",13.60,HOUR
"Assembler, Millwork - Wood Products Manufacturing","Laval, QC",18.00,HOUR
Restaurant Assistant Manager,"Edmonton, AB",19.00,HOUR
Plumber,"Winnipeg, MB","60,000",YEAR
Process Instrumentation Engineer,"Terrebonne, QC",Not available,
Shift Manager - Fast Food Restaurant,"4228 Midland AvenueScarborough, ONM1V 4S7",16.25,HOUR
Store Manager - Retail,"Varennes, QC",to be discussed,
Cleaning Supervisor,"1945 Pier Mac WayKelowna, BCV1V 0C1",27.00,HOUR
Technical Sales Specialists - Wholesale Trade,"Martensville, SK",TBD based on experience,
Automotive Mechanic Helper,"Terrebonne, QC",15.00,HOUR
"Clerk, General Office","Terrebonne, QC",15.00,HOUR
Mobile Applications Developer,"Oakville, ON",39.46,HOUR
Building Maintenance Man/woman,"Laval, QC",to be discussed,
Shipping And Receiving Clerk,"Lévis, QC",16.00,HOUR
Assistant Department Manager - Retail,"Contrecoeur, QC",Not available,
Administrative Co-ordinator,"Lévis, QC",Not available,
Roofer,"12391 82 AvenueSurrey, BCV3W 3E5",25.00,HOUR
"Contractor, Lawn Care Service","Saint-Hubert, QC",18.00,HOUR
Food Service Supervisor,"Gibsons, BC",16.95,HOUR
Systems QA (quality Assurance) Analyst,"Montréal, QC",Not available,
Fast Food Restaurant Manager,"Walkerton, ON",Not available,
Electronics Technician,"Lévis, QC",Not available,
Registered Massage Therapist (RMT),"Mont-Tremblant, QC",to be discussed,
Tractor-trailer Truck Driver,"Sainte-Marie, QC",to be discussed,
Dental Assistant,"Québec, QC",to be discussed,
Nanny,"4135 SHIPP DRMississauga, ONL4Z 0A7",15.00,HOUR
Factory Labourer - Manufacturing,"Sainte-Marie, QC",19.11,HOUR
"Scale Operator, Landfill","Kelowna, BC",$28.08 hourly,
Office Administration Clerk,"Joliette, QC",17.53,HOUR
Electrical Mechanic,"Laval, QC",to be discussed,
"Driver, Truck","Sainte-Élisabeth, QC",to be discussed,
Housekeeping Attendant,"Mont-Royal, QC",13.50,HOUR
"Developer, Software","Calgary, AB",Not available,
"Chief Financial Officer (CFO) - Financial, Communications And Other Business Services","Scarborough, ON",53.00,HOUR
Managing Supervisor - Retail,"Placentia, NL",Not available,
Production Helper - Food And Beverage Processing,"Sainte-Sophie, QC",to be discussed,
Field Supervisor - Occupational Health And Safety,"Jonquière, QC",25.00,HOUR
Building Cleaning And Maintenance Supervisor,"Saskatoon, SK",18.00,HOUR
Graphic Designer,"203, 9129 35 Avenue NWEdmonton, ABT6E 5Y1",27.00,HOUR
Sous-chef,"Calgary, AB",18.00,HOUR
Gymnastics Instructor,"1891 Springfield RoadKelowna, BCV1Y 5V5",23.00,HOUR
"Driver, Truck","Joliette, QC",19.00,HOUR
Human Relations Officer - Family Therapy,"Sainte-Julie, QC",Not available,
Chef,"2-245 Edinburgh Rd. S.Guelph, ONN1G 2J6",18.00,HOUR
Welder,"Surrey, BC",29.00,HOUR
"Truck Driver, Long Haul","Edmonton, AB",28.00,HOUR
Hairstylist,"6-3759 Chuka BlvdRegina, SKS4V 3P7",17.00,HOUR
Feed Mill Production Worker,"Balzac, AB",Not available,
Office Administrator,"Brampton, ON",25.50,HOUR
Delivery Driver,"Bathurst, NB","33,000",YEAR
Production Day Labourer - Tire Industry,"Wickham, QC",17.50,HOUR
"Automotive Service Technicians, Truck And Bus Mechanics And Mechanical Repairers","Saskatoon, SK",25.00,HOUR
Food Service Supervisor,"9318 - 137 AveEdmonton, ABT5E 6C2",16.90,HOUR
Kitchen Helper,"Charlottetown, PE",13.00,HOUR
Office Co-ordinator,"1110 bloor street eastMississauga, ONL4Y 2N7",25.50,HOUR
Stationary Engineer,"Joliette, QC",to be discussed,
Municipal Engineering Assistant,"Montréal, QC",to be discussed,
Heavy Equipment Operators (except Crane),"Saskatoon, SK",Not available,
Shop Clerk,"Bécancour, QC",13.60,HOUR
Customer Service Adviser,"Edmonton, AB","2,500",MONTH
Poultry Butcher - Meat Packing Plant,"Clair, NB",13.75,HOUR
Sales And Advertising Manager,"Surrey, BC",37.80,HOUR
Merchandiser,"Trois-Rivières, QC",16.05,HOUR
Long Haul Truck Driver,"Mississauga, ON",24.50,HOUR
Bookkeeper,"207- 8078 128 Street ( Little India Plaza)Surrey, BCV3W 0E9",24.00,HOUR
Cook,"2810 21 AvenueNanton, ABT0L 1R0",16.00,HOUR
Sales Consultant - Retail,"Repentigny, QC",to be discussed,
Software Tester,"Gatineau, QC",Not available,
Urban Planner,"L'Assomption, QC",Not available,
Timber Scaler,"Namur, QC",to be discussed,
Statistical Officers And Related Research Support Occupations,"Yorkton, SK",17.83,HOUR
"Mechanic, Truck","Terrebonne, QC",to be discussed,
"Doctor, Family","Saskatoon, SK",Not available,
Addictions Counsellor,"1355 Upper's LnThorold, ONL2V 4A6","1,093.82",WEEKLY
Computer Help Desk Representative - Systems,"Montréal, QC",Not available,
Reception Clerk,"Blainville, QC",16.00,HOUR
Dental Assistant,"Blainville, QC",20.00,HOUR
Child Caregiver - Private Home,"L'Île-Bizard, QC",13.50,HOUR
Bookkeeper,"Richmond, BC",26.00,HOUR
Construction Site Foreman/woman,"Delta, BC",35.50,HOUR
Material Handler,"146 Bridge Rd Headingley, MBR4H 1G8",19.00,HOUR
Dishwasher,"Mont-Royal, QC",14.00,HOUR
"Mechanic, Small Engines","Napierville, QC",to be discussed,
Nanny,"Surrey, BC",14.60,HOUR
"Guard, Security","Kingston, ON",16.00,HOUR
Nursing Assistant (registered - Québec),"Saint-Hubert, QC",to be discussed,
Labourer - Metallurgy,"Vallée-Jonction, QC",17.50,HOUR
Fast-food Preparer,"Saint-Jérôme, QC",Not available,
Cook,"Surrey, BC",15.00,HOUR
Early Childhood Educator (E.C.E.),"Québec, QC",16.90,HOUR
Product Designer,"Saint John, NB","40,000",YEAR
Retail Store Supervisor,"9510, 105 Avenue NWEdmonton, ABT5H 0J8",21.15,HOUR
Cook,"104-5311 Discovery WayLeduc, ABT9E 8N4",15.50,HOUR
Nail Care Technician,"Fort McMurray, AB",16.00,HOUR
Home Child Care Provider,"Woodbridge, ON",15.00,HOUR
Industrial Welder,"Saguenay, QC",Not available,
Information Management Technician,"Pointe-aux-Trembles, QC",Not available,
Awning Installer Helper,"Saint-Jérôme, QC",16.00,HOUR
Food Service Counter Attendant,"1160 Hanwell RoadFredericton, NBE3C 0A6",11.70,HOUR
Cook,"Québec, QC",14.00,HOUR
"Developer, Software","Scarborough, ON",Not available,
Radiologist,"Campbellton, NB",Not available,
Production Agent,"Montréal, QC",17.69,HOUR
Restaurant Cook,"Rivière-du-Loup, QC",Not available,
Production Clerks Supervisor,"Saint-Georges, QC",to be discussed,
Framer-carpenter,"Scarborough, ON",29.00,HOUR
Administrative Contract Clerk,"Sherbrooke, QC",to be discussed,
Financial Controller,"Nicolet, QC",to be discussed,
"Director, Leisure Establishment","Montréal, QC",to be discussed,
Warehouse Keeper Helper,"Surrey, BC",17.50,HOUR
Long Haul Truck Driver,"Surrey, BC",25.50,HOUR
Cleaner,"Kentville, NS",13.00,HOUR
Cook,"1873 WEST 4TH AVENUEVancouver, BCV6J 1M4",15.10,HOUR
Farm Hand,"Sainte-Perpétue, QC",to be discussed,
Food Service Supervisor,"734 - Parsons Road SWEdmonton, ABT6X 1N4",16.50,HOUR
"Helper, Mechanic","Longueuil, QC",16.00,HOUR
Ammunition Worker,"Québec, QC","35,800",YEAR
Social Services Worker,"La Pocatière, QC",18.20,HOUR
"Butcher, Retail","Cambridge, ON",16.00,HOUR
Delivery Truck Driver,"101 Resource RoadKingston, ONK7P 0K1",15.00,HOUR
"Foreman/woman, Heavy Equipment Mechanics","Blainville, QC",to be discussed,
Nurse,"Saskatoon, SK",37.08,HOUR
Bench Spray Painter,"Chambly, QC",19.50,HOUR
Professional Estimator - Construction,"Sainte-Anne-des-Plaines, QC",to be discussed,
Food Service Supervisor,"Squamish, BC",16.00,HOUR
Boom Truck Crane Operator,"Delta, BC",30.00,HOUR
Various Positions : Enquiries And Social Media,"Gatineau, QC","54,878",YEAR
"Manager, Restaurant","Surrey, BC",25.00,HOUR
Administrative Officer,"Oshawa, ON",25.00,HOUR
Engineering Service Project Manager,"Montréal, QC","90,000",YEAR
Cook,"Calgary, AB",15.50,HOUR
"Painter Helper, Production","35 Higgins AveWinnipeg, MBR3B 0A1",14.00,HOUR
Child Caregiver - Private Home,"Westmount, QC",13.10,HOUR
"Technician, Architectural","Cabano, QC",to be discussed,
Program Delivery Officer - Business Development,"Toronto, ON",Not available,
Waiter/waitress - Food And Beverage Services,"Sherbrooke, QC",Not available,
Stockroom Clerk - Retail,"Anjou, QC",to be discussed,
"Foreman/woman, Heavy Construction Crew","Dawson Creek, BC",Not available,
Accountant-controller,"Almonte, ON","50,000",YEAR
Criminologist,"Sept-Îles, QC",25.25,HOUR
Electrical Mechanic Helper,"Saint-Hyacinthe, QC",Not available,
Rope Access Technician (RAT),"2239 St Catherines StVancouver, BCV5T 4M9",28.00,HOUR
Food Service Supervisor,"270 Rutherford Road South, Unit #1Brampton, ONL6W 3K7",20.00,HOUR
"Mechanic, Refrigeration","Saint-Laurent, QC",to be discussed,
Customer Service Cashier,"Lévis, QC",to be discussed,
Home Health Care Worker,"Maple, ON",18.00,HOUR
Gardener Helper,"Claremont, ON",20.00,HOUR
Delivery Driver,"Québec, QC",to be discussed,
Garden Supplies Sales Clerk,"Belleville, ON",14.25,HOUR
Assistant Cook,"North Vancouver, BC",16.00,HOUR
Dining Establishment Managing Supervisor,"1916-10 ave.Spruce View, ABT0M 1V0",23.10,HOUR
Restaurant Manager,"Surrey, BC",25.00,HOUR
Baker,"39 KingswayVancouver, BCV5T 3H7",16.00,HOUR
Administrative Assistant,"#212-2630 Croydon Dr. Surrey, BCV3Z 6T3",21.50,HOUR
Management Accountant,"Sainte-Marie, QC",to be discussed,
French Teacher - Elementary School,"Montréal, QC",to be discussed,
"President And General Manager - Trade, Broadcasting And Other Services","Stoney Creek, ON",47.00,HOUR
IT (information Technology) Consultant,"#103 55 Westwinds CR NECalgary, ABT3J 5H2",43.60,HOUR
Office Supervisor,"7505 Victoria DriveVancouver, BCV5P 3Z6",38.50,HOUR
"General Manager - Financial, Communications And Other Business Services","1485 Eglinton Ave WestYork, ONM6E 2G6",60.00,HOUR
Store Manager - Retail,"Laval, QC",to be discussed,
Software Tester,"Montréal, QC",Not available,
Administrative Manager,"Surrey, BC",42.00,HOUR
Electrical Mechanic,"Mirabel, QC",to be discussed,
Labourer Crew Leader - Public Works,"Anjou, QC",15.00,HOUR
"Director, Finance","Hillsburgh, ON",Not available,
System Administrator,"Montréal, QC",40.00,HOUR
Production Clerks Supervisor,"Les Cèdres, QC",Not available,
Customer Information Service Representative - Retail,"Beloeil, QC",to be discussed,
Day Camp Leader,"Saint-Léon, QC",13.50,HOUR
Food Service Supervisor,"6800 48 AvenueCamrose, ABT4V 4T1",16.90,HOUR
"Physician, Family","Bathurst, NB",Not available,
Retail Store Supervisor,"Red Deer County, AB",20.50,HOUR
Administrative Secretary,"Saint-Romuald, QC",15.00,HOUR
Truck And Transport Vehicle Mechanic Apprentice,"Woodbridge, ON",25.64,HOUR
Production Labourer - Food Processing,"Normandin, QC",to be discussed,
Agricultural Equipment Mechanic,"Saint-Ubalde, QC",18.00,HOUR
Food Service Supervisor,"599 Main Street W. Port Colborne, ONL3K 5Y7",16.00,HOUR
Furniture Sales Consultant - Retail,"Saint-Léonard, QC","50,000.00",HOUR
"Labourer, Shipyard","Saint John, NB",12.75,HOUR
Waiter/waitress,"Delta, BC",16.50,HOUR
"Corporate Controller - Goods Production, Utilities, Transportation And Construction","Guelph, ON",58.00,HOUR
Industrial Painter,"Kelowna, BC",Not available,
Kitchen Helper,"Port Dover, ON",14.25,HOUR
Food Controller - Inventory,"Québec, QC",to be discussed,
Personal Aide - Home Support,"Calgary, AB",19.25,HOUR
Bookkeeper,"300 OAKPOINT HWYWinnipeg, MBR2R 1V1",23.50,HOUR
Special Education Technician - Social And Community Services,"Laval, QC",23.12,HOUR
Software Developer,"Montréal, QC",Not available,
"Buffer, Metal - Metal Products Manufacturing","Boucherville, QC",to be discussed,
Primary Care Paramedic,"Regina, SK",Not available,
"Advertising, Marketing And Public Relations Managers","Abbotsford, BC",20.00,HOUR
Medical Orderly,"Saint-Hubert, QC",20.55,HOUR
Shipping And Receiving Clerk,"Lévis, QC",21.80,HOUR
Child Caregiver - Private Home,"Saint-Laurent, QC",13.10,HOUR
Stock Clerk - Retail,"Saint-Hyacinthe, QC",13.10,HOUR
Nanny,"Toronto, ON",15.00,HOUR
Heavy Equipment Operator,"Abbotsford, BC",33.00,HOUR
"Teacher, High School","Scarborough, ON",40.00,HOUR
Sawing Machine Operator - Sawmill,"Saint-Joseph-du-Lac, QC",17.00,HOUR
Client Service Clerk,"Ottawa, ON",20.00,HOUR
Retail Sales Representative,"Montréal, QC",Not available,
Bakery Clerk,"Vernon, BC",18.00,HOUR
"Operations Vice-president - Financial, Communications And Other Business Services","3665 KINGSWAY suite 300Vancouver, BCV5R 5W2",64.10,HOUR
"Oil And Gas Well Drillers, Servicers, Testers And Related Workers","Swift Current, SK",depending on experience,
Home Child Care Provider,"Surrey, BC",14.60,HOUR
Bookkeeper,"Surrey, BC",24.00,HOUR
Roofer,"Abbotsford, BC",27.10,HOUR
Cook,"10205 82 Ave NWEdmonton, ABT6E 3X8",16.00,HOUR
"Designer, Industrial Products","Montréal, QC",15.00,HOUR
Cook,"Smiths Falls, ON",24.50,HOUR
Early Childhood Educator Assistant - Kindergarten,"unit 7-12, 20 cowan PLGuelph, ONN1G 0C1",20.00,HOUR
Sandwich Artist,"Québec, QC",13.10,HOUR
Office Assistant,"Owen Sound, ON",20.20,HOUR
Engineering Draftsperson,"Notre-Dame-du-Mont-Carmel, QC",18.00,HOUR
Cashier,"Maria, QC",to be discussed,
Food Counter Attendant,"Drummondville, QC",to be discussed,
Construction Superintendent,"Montréal, QC",to be discussed,
Farm Labourer,"Richelieu, QC",13.10,HOUR
"Technician, Environmental","Repentigny, QC",to be discussed,
Office Manager,"Moncton, NB","44,000",YEAR
Schedule Clerk,"Québec, QC",20.30,HOUR
Automotive Mechanic,"Québec, QC",Not available,
"Co-ordinator, Daycare","Stratford, PE",20.11,HOUR
Bookkeeper,"9059 Shaughnessy Street suite 3Vancouver, BCV6P 4R9",24.00,HOUR
Staff Sergeant - Police,"Surrey, BC",Not available,
Registered Nurse (R.N.),"Eastern Passage, NS",Not available,
Car Scrubber,"Saint-Jean-sur-Richelieu, QC",to be discussed,
Software Development Programmer,"Vancouver, BC",Not available,
Hotel Managing Supervisor,"374 West Island HighwayParksville, BCV9P 1K8",25.00,HOUR
Cook,"Edam, SK",22.72,HOUR
Cleaning Supervisor,"E603-1310 NESBITT DRSudbury, ONP3E 0H3",24.30,HOUR
Automobile Mechanic,"Québec, QC",20.00,HOUR
Department Manager - Retail,"Saint-Nicolas, QC",to be discussed,
Sales Consultant - Retail,"Pointe-Claire, QC",to be discussed,
Chambermaid,"Québec, QC",to be discussed,
Web Developer,"Montréal, QC",Not available,
Home Support Worker,"1101 Beach DriveVictoria, BCV8S 2N2",20.00,HOUR
"Clerk, Deli Counter","Québec, QC",to be discussed,
Fit-up Welder,"Saint-Léonard, QC",25.00,HOUR
Office Receptionist,"Winnipeg, MB",15.00,HOUR
Call Centre Agent - Customer Service,"Alma, QC",to be discussed,
Shipping And Receiving Clerk,"Saint-Sauveur, QC",to be discussed,
Cook,"North Battleford, SK",Wage negotiable depending on experience and skills,
Registered Nurse (R.N.),"Windsor, ON",Not available,
Design Engineer - Mechanical,"Varennes, QC",to be discussed,
Concrete Finisher,"Bedford, NS",22.54,HOUR
Accounting Assistant,"Summerside, PE","40,000",YEAR
"Electrician, Industrial","Montréal, QC",Not available,
Mechanical Engineering Technician,"Dolbeau-Mistassini, QC",Not available,
Bookkeeper,"Weyburn, SK",Depending on experience and education,
Call Centre Agent - Customer Service,"Rivière-du-Loup, QC",to be discussed,
Restaurant Manager,"Edmonton, AB",21.50,HOUR
Fourth-class Stationary Engineer,"Montréal, QC",28.00,HOUR
Carpenter,"Delta, BC",28.00,HOUR
Stockroom Clerk - Retail,"Repentigny, QC",to be discussed,
Baker - Retail,"Victoriaville, QC",to be discussed,
Shipping And Receiving Clerk,"Québec, QC",to be discussed,
Information Systems Business Analyst,"Québec, QC",Not available,
"Mechanic, Maintenance","Vaughan, ON",28.00,HOUR
Laser Cutter - Metal Fabrication,"Shenley, QC",to be discussed,
Construction Helper,"Surrey, BC",25.00,HOUR
"HVAC (heating, Ventilation And Air Conditioning) Technologist","Cambridge, ON","35,000",YEAR
Financial Services Consultant,"Chambly, QC",Not available,
Concrete Finisher,"Mount Hope, ON",34.00,HOUR
Landscape Architect,"Pointe-Claire, QC",Not available,
Administrative Secretary,"Burnaby, BC",25.00,HOUR
Nanny,"Niagara Falls, ON",15.00,HOUR
Administrative Assistant,"Québec, QC",Not available,
"Assembler, Millwork - Wood Products Manufacturing","Saint-Lin-Laurentides, QC",14.00,HOUR
Construction Helper,"Surrey, BC",21.00,HOUR
Retail Store Supervisor,"Guelph, ON",20.00,HOUR
Floorhand,"Québec, QC",to be discussed,
